Latitude           Longitude   Distance from last(ft)
40.2468466667      -111.648611667       38799536.0065

40.2468483333      -111.648613333      0.764895215335

40.24685         -111.648615      0.764895212864

40.24662      -111.648721667       89.0088047638

40.246625      -111.648718333       2.04663600667

40.24663      -111.648713333       2.29468839803

40.2463666667      -111.648743333       96.4300014839

40.2463633333      -111.648753333       3.03847512004

40.2463666667      -111.648748333       1.84855495724

40.2463783333          -111.64863       33.2239287136

40.2463783333      -111.648628333      0.464087048873

40.2463816667      -111.648628333       1.21604422408

40.2465966667          -111.64865       78.6665408081

40.2466033333      -111.648648333       2.47597043634

40.2466116667      -111.648638333        4.1225943469

40.2468866667         -111.648695       101.556916529

40.2468883333      -111.648696667      0.764895048941

40.2468866667           -111.6487        1.1095878016

40.2470466667           -111.6487        58.370122779

40.2470416667      -111.648698333       1.88217707953

40.247045      -111.648698333       1.21604422408

